Wr60,PP50,P15,P50
LOC112042799,LOC112042854,LOC112042853,LOC112042854
LOC112042809,LOC112042858,LOC112042894,LOC112042858
LOC112042854,LOC112042894,LOC112042895,LOC112042907
LOC112042858,LOC112042919,LOC112042919,LOC112042935
LOC112042894,LOC112042935,LOC112042935,LOC112042951
LOC112042897,LOC112043028,LOC112043011,LOC112043011
LOC112042919,LOC112043045,LOC112043045,LOC112043015
LOC112042935,LOC112043096,LOC112043124,LOC112043036
LOC112042951,LOC112043134,LOC112043143,LOC112043143
LOC112043011,LOC112043143,LOC112043205,LOC112043147
LOC112043022,LOC112043155,LOC112043252,LOC112043159
LOC112043028,LOC112043159,LOC112043271,LOC112043175
LOC112043032,LOC112043184,LOC112043298,LOC112043271
LOC112043045,LOC112043224,LOC112043322,LOC112043272
LOC112043134,LOC112043271,LOC112043342,LOC112043298
LOC112043136,LOC112043298,LOC112043407,LOC112043299
LOC112043143,LOC112043311,LOC112043428,LOC112043310
LOC112043205,LOC112043332,LOC112043473,LOC112043322
LOC112043268,LOC112043377,LOC112043533,LOC112043386
LOC112043271,LOC112043386,LOC112043549,LOC112043441
LOC112043293,LOC112043407,LOC112043629,LOC112043483
LOC112043295,LOC112043411,LOC112043641,LOC112043486
LOC112043296,LOC112043497,LOC112043653,LOC112043517
LOC112043298,LOC112043515,LOC112043669,LOC112043624
LOC112043299,LOC112043605,LOC112043734,LOC112043638
LOC112043309,LOC112043669,LOC112043773,LOC112043669
LOC112043311,LOC112043675,LOC112043776,LOC112043674
LOC112043381,LOC112043718,LOC112043790,LOC112043675
LOC112043411,LOC112043737,LOC112043798,LOC112043700
LOC112043428,LOC112043746,LOC112043851,LOC112043718
LOC112043441,LOC112043781,LOC112043853,LOC112043737
LOC112043473,LOC112043798,LOC112043856,LOC112043759
LOC112043493,LOC112043800,LOC112043861,LOC112043768
LOC112043497,LOC112043822,LOC112043877,LOC112043773
LOC112043510,LOC112043847,LOC112043925,LOC112043781
LOC112043515,LOC112043851,LOC112043926,LOC112043806
LOC112043517,LOC112043853,LOC112043932,LOC112043829
LOC112043533,LOC112043861,LOC112043934,LOC112043847
LOC112043538,LOC112043911,LOC112043935,LOC112043851
LOC112043549,LOC112043957,LOC112044045,LOC112043853
LOC112043556,LOC112044052,LOC112044052,LOC112043861
LOC112043577,LOC112044076,LOC112044076,LOC112043862
LOC112043609,LOC112044077,LOC112044077,LOC112043877
LOC112043612,LOC112044084,LOC112044080,LOC112043925
LOC112043669,LOC112044097,LOC112044097,LOC112043935
LOC112043675,LOC112044124,LOC112044100,LOC112044029
LOC112043682,LOC112044142,LOC112044280,LOC112044032
LOC112043734,LOC112044157,LOC112044316,LOC112044045
LOC112043737,LOC112044247,LOC112044349,LOC112044055
LOC112043756,LOC112044270,LOC112044357,LOC112044076
LOC112043776,LOC112044311,LOC112044395,LOC112044077
LOC112043798,LOC112044333,LOC112044440,LOC112044080
LOC112043800,LOC112044346,LOC112044442,LOC112044097
LOC112043851,LOC112044395,LOC112044451,LOC112044138
LOC112043853,LOC112044438,LOC112044454,LOC112044157
LOC112043859,LOC112044453,LOC112044504,LOC112044248
LOC112043866,LOC112044454,LOC112044590,LOC112044270
LOC112043877,LOC112044486,LOC112044618,LOC112044298
LOC112043905,LOC112044496,LOC112044658,LOC112044316
LOC112043911,LOC112044502,LOC112044663,LOC112044342
LOC112043920,LOC112044505,LOC112044700,LOC112044346
LOC112043925,LOC112044620,LOC112044733,LOC112044357
LOC112043932,LOC112044645,LOC112044745,LOC112044422
LOC112043933,LOC112044658,LOC112044750,LOC112044442
LOC112043985,LOC112044712,LOC112044795,LOC112044453
LOC112044000,LOC112044751,LOC112044839,LOC112044496
LOC112044045,LOC112044786,LOC112044859,LOC112044504
LOC112044055,LOC112044795,LOC112044884,LOC112044517
LOC112044084,LOC112044859,LOC112044894,LOC112044603
LOC112044118,LOC112044884,LOC112044923,LOC112044629
LOC112044124,LOC112044894,LOC112044961,LOC112044649
